FIPS,STNAME,CTYNAME,CENSUS2010POP,POPESTIMATE2019
1000,Alabama,Alabama,"4,779,736","4,903,185"
10000,Delaware,Delaware,"897,934","973,764"
10001,Delaware,Kent County,"162,310","180,786"
10003,Delaware,New Castle County,"538,479","558,753"
10005,Delaware,Sussex County,"197,145","234,225"
1001,Alabama,Autauga County,"54,571","55,869"
1003,Alabama,Baldwin County,"182,265","223,234"
1005,Alabama,Barbour County,"27,457","24,686"
1007,Alabama,Bibb County,"22,915","22,394"
1009,Alabama,Blount County,"57,322","57,826"
1011,Alabama,Bullock County,"10,914","10,101"
1013,Alabama,Butler County,"20,947","19,448"
1015,Alabama,Calhoun County,"118,572","113,605"
1017,Alabama,Chambers County,"34,215","33,254"
1019,Alabama,Cherokee County,"25,989","26,196"
1021,Alabama,Chilton County,"43,643","44,428"
1023,Alabama,Choctaw County,"13,859","12,589"
1025,Alabama,Clarke County,"25,833","23,622"
1027,Alabama,Clay County,"13,932","13,235"
1029,Alabama,Cleburne County,"14,972","14,910"
1031,Alabama,Coffee County,"49,948","52,342"
1033,Alabama,Colbert County,"54,428","55,241"
1035,Alabama,Conecuh County,"13,228","12,067"
1037,Alabama,Coosa County,"11,539","10,663"
1039,Alabama,Covington County,"37,765","37,049"
1041,Alabama,Crenshaw County,"13,906","13,772"
1043,Alabama,Cullman County,"80,406","83,768"
1045,Alabama,Dale County,"50,251","49,172"
1047,Alabama,Dallas County,"43,820","37,196"
1049,Alabama,DeKalb County,"71,109","71,513"
1051,Alabama,Elmore County,"79,303","81,209"
1053,Alabama,Escambia County,"38,319","36,633"
1055,Alabama,Etowah County,"104,430","102,268"
1057,Alabama,Fayette County,"17,241","16,302"
1059,Alabama,Franklin County,"31,704","31,362"
1061,Alabama,Geneva County,"26,790","26,271"
1063,Alabama,Greene County,"9,045","8,111"
1065,Alabama,Hale County,"15,760","14,651"
1067,Alabama,Henry County,"17,302","17,205"
1069,Alabama,Houston County,"101,547","105,882"
1071,Alabama,Jackson County,"53,227","51,626"
1073,Alabama,Jefferson County,"658,466","658,573"
1075,Alabama,Lamar County,"14,564","13,805"
1077,Alabama,Lauderdale County,"92,709","92,729"
1079,Alabama,Lawrence County,"34,339","32,924"
1081,Alabama,Lee County,"140,247","164,542"
1083,Alabama,Limestone County,"82,782","98,915"
1085,Alabama,Lowndes County,"11,299","9,726"
1087,Alabama,Macon County,"21,452","18,068"
1089,Alabama,Madison County,"334,811","372,909"
1091,Alabama,Marengo County,"21,027","18,863"
1093,Alabama,Marion County,"30,776","29,709"
1095,Alabama,Marshall County,"93,019","96,774"
1097,Alabama,Mobile County,"412,992","413,210"
1099,Alabama,Monroe County,"23,068","20,733"
11000,District of Columbia,District of Columbia,"601,723","705,749"
11001,District of Columbia,District of Columbia,"601,723","705,749"
